Number One,Number Two,Their GCD,Time Spent (Nanoseconds)
15218,7844,2,12100
-5186,7309,1,10800
3388,3980,4,10100
12918,5980,2,5700
-8662,-12818,2,8300
1038,7062,6,17800
2227,-15888,1,9800
358,-1361,1,21800
15429,12768,3,1900
6632,-8328,8,17700
-12990,-7645,5,11500
-1104,3499,1,10600
